ANIO;MES;UT;UBIGEOCG;NOMDEP;NOMPRO;NOMDIS;NOMCOM;UBIGEO_LOCAL;NOMDEPLOC;NOMPROLOC;NOMDISLOC;CCPP_LOCAL;NOM_CCPP;NOMLOC;SEXO;FECNACUSU;EDAD_USU
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;M;17/11/2022;13
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;F;17/10/2022;14
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;M;13/07/2022;17
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;M;1/04/2023;8
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;F;24/10/2022;14
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;6/06/2022;18
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;26/04/2023;8
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;8/04/2021;32
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;M;26/01/2023;11
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;M;20/03/2021;33
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;17/12/2021;24
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;18/11/2022;13
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;18/04/2023;8
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;15/12/2020;36
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;F;23/10/2022;14
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;M;17/02/2021;34
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;VISTA ALEGRE DE PUQUIO;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PSCNP_LOS PUQUIANITOS;M;18/04/2022;20
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;SEÑOR DE LA EXALTACION;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PUQUIO;M;2/10/2021;26
2023;12;UT AYACUCHO;50601;AYACUCHO;LUCANAS;PUQUIO;SEÑOR DE LA EXALTACION;50601;AYACUCHO;LUCANAS;PUQUIO;506010001;PUQUIO;PUQUIO;F;31/01/2021;35
